india,china,pakistan
340,180,84
341,180,84
341,180,85
341,181,85
341,181,85
341,182,85
342,182,85
342,182,85
342,183,85
342,183,85
342,183,86
343,183,86
343,183,87
343,183,87
343,183,87
343,183,87
343,183,87
343,183,87
343,183,88
343,183,88
343,184,88
343,184,88
344,184,88
344,184,88
344,184,88
344,184,88
345,184,88
346,184,88
347,184,88
348,184,88
348,184,88
348,184,88
348,184,88
348,185,88
348,185,89
348,185,89
348,185,89
348,185,90
348,185,90
348,185,91
348,185,91
348,185,91
349,185,91
349,185,91
349,186,91
349,186,91
349,186,91
349,186,91
349,187,91
349,188,91
349,188,91
349,188,91
349,189,91
350,189,91
351,189,91
351,189,92
351,189,92
351,189,92
351,189,92
351,189,92
351,190,92
351,191,92
352,191,92
352,191,92
353,191,92
353,191,92
354,191,92
355,191,92
355,191,92
356,191,92
357,191,92
358,191,92
358,191,92
359,191,92
359,191,92
359,191,92
360,191,92
361,191,92
361,191,92
361,191,92
362,191,92
362,191,92
362,191,92
363,191,92
364,191,92
365,191,92
365,192,92
365,192,92
366,192,92
366,192,93
366,192,93
366,192,93
367,192,93
367,192,93
368,192,93
368,193,93
369,193,93
370,193,93
370,193,94
371,193,94
371,193,94
371,193,95
371,193,95
372,193,95
373,193,95
374,193,95
374,193,95
374,193,95
374,193,95
375,193,95
376,193,95
377,193,95
377,193,95
378,193,95
378,193,95
378,193,96
378,194,96
379,194,96
379,194,97
379,194,98
379,194,98
379,194,98
379,194,98
379,194,98
380,194,98
380,195,98
380,195,98
380,195,98
381,195,98
381,195,98
381,196,98
381,197,98
382,197,98
382,197,98
382,197,98
382,197,98
382,197,98
382,197,99
382,197,99
382,197,99
383,197,99
383,198,99
383,198,100
383,198,100
383,198,100
383,198,100
384,198,100
384,199,100
385,199,100
385,200,100
385,200,100
385,200,100
385,200,100
386,200,100
386,200,100
386,200,101
386,200,101
386,200,101
387,200,101
387,201,101
387,201,101
388,201,101
389,201,101
390,201,101
391,201,101
392,201,101
392,201,101
392,202,101
392,203,101
392,203,101
392,203,101
392,203,101
393,203,101
393,203,101
393,204,101
394,204,101
395,204,101
395,204,101
395,204,101
395,204,101
396,204,101
396,204,101
397,204,101
398,204,101
398,204,101
398,204,101
399,204,101
400,204,101
400,204,101
400,204,101
401,204,101
402,204,101
403,204,101
403,204,101
403,204,101
403,204,101
403,204,101
403,204,101
403,204,101
403,204,102
403,205,102
404,205,102
404,205,102
405,205,102
405,205,102
405,205,102
406,205,102
406,205,103
406,205,103
407,205,103
407,205,103
407,206,103
408,206,103
409,206,103
409,206,103
410,206,103
410,206,103
411,206,103
411,206,103
411,206,103
412,206,103
412,206,103
413,206,103
413,206,103
414,206,103
414,206,103
415,206,103
415,206,103
415,206,103
416,206,103
416,206,103
417,206,103
417,206,103
417,206,104
417,206,104
417,206,104
417,207,104
417,207,104
417,207,104
417,207,104
418,207,104
419,207,104
419,207,104
419,208,104
419,208,104
419,208,104
419,208,104
419,208,104
420,208,104
420,209,104
420,209,104
420,209,104
421,209,104
421,209,105
421,210,105
421,210,105
422,210,105
422,211,105
422,212,105
422,212,105
422,213,105
